CASRN,DTXSID,SMILES
105935-33-9,DTXSID60603935,C=C(C(=O)OCC(C(F)(F)F)(F)F)C(F)(F)F
105936-30-9,DTXSID30896559,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
105981-94-0,DTXSID90546684,C(C(C(C(F)(Cl)Cl)(F)F)(Cl)Cl)(C(F)(Cl)Cl)(F)F
106104-73-8,DTXSID00762252,C(CO)CS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
106108-22-9,DTXSID901023579,C(C(C(OC(=C(F)F)F)(F)F)(F)F)I
106128-16-9,DTXSID50603909,C=CCCC(C(F)(F)F)(F)F
106203-17-2,DTXSID00895756,COC(=O)C=C(C(C(C(F)(F)F)(F)F)(F)F)N
106209-21-6,DTXSID40679875,C=CC1=CC=C(C=C1)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
106226-84-0,DTXSID40762352,C1=CC=C(C=C1)C#CC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
106327-88-2,DTXSID40712059,C(=O)(C(C(F)(F)F)(O)F)O
106372-30-9,DTXSID60881332,C(C(OC(C(F)(F)Cl)(F)Cl)(F)F)(C(F)(F)F)(F)F
106376-36-7,DTXSID70896078,C1=CC(=CC(=C1)Cl)NC(=O)C(C(C(F)(F)F)(F)F)(F)F
106376-37-8,DTXSID20881333,C1=CC(=C(C=C1NC(=O)C(C(C(F)(F)F)(F)F)(F)F)Cl)Cl
106376-38-9,DTXSID80881334,C1=C(C=C(C=C1Cl)Cl)NC(=O)C(C(C(F)(F)F)(F)F)(F)F
106394-03-0,DTXSID301023676,COC(=O)C(C(F)(F)F)(OC(C(CI)(F)F)(F)F)F
106394-04-1,DTXSID001023677,C(C(C(OC(C(=O)[O-])(C(F)(F)F)F)(F)F)(F)F)I.[Na+]
106394-05-2,DTXSID601023675,COC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(CI)(F)F)(F)F)F)(F)F)F
106609-54-5,DTXSID50762469,C[Si](C)(C)OC(C(C(F)(F)F)(F)F)(F)F
106693-00-9,DTXSID90544625,COC(C(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
106693-04-3,DTXSID00447673,CCOC(=O)CC(C(F)(F)F)(F)F
106705-50-4,DTXSID50762540,C1CN2CCN1C(C2(F)F)(F)F
106790-26-5,DTXSID20896189,CCO[Si](CCCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC
106813-72-3,DTXSID50544181,C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(O)OOC2(C(C(C(C2(F)F)(F)F)(F)F)(F)F)O
106813-73-4,DTXSID10544182,C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(O)OOC2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)O
106873-67-0,DTXSID70381979,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
106873-68-1,DTXSID50895201,CCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
106873-69-2,DTXSID20895177,CCCCCCCCCCCCC(C(C(F)(F)F)(F)F)(F)F
106876-35-1,DTXSID60762632,C1=C(SC(=C1)Cl)C(=O)CC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
106877-15-0,DTXSID90895664,C1=CC(=CC=C1C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
106877-28-5,DTXSID80895633,C1=CC=C(C(=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N
1069085-51-3,DTXSID40896085,C1CN(C(=N1)C(C(C(F)(F)F)(F)F)(F)F)CC2=CC=CC=C2
1069085-53-5,DTXSID60896062,C1CN(C(=N1)C(C(C(F)(F)F)(F)F)(F)F)C2=CC=CC=C2
107070-94-0,DTXSID70896073,CNC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(NC)O
1071000-98-0,DTXSID50648375,C1=CC=C(C=C1)CCCCC(=O)C(C(F)(F)F)(F)F
107349-85-9,DTXSID7073775,C1=CC(=C(C=C1[N+](=O)[O-])Br)NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
107349-88-2,DTXSID2073776,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
107349-93-9,DTXSID7073777,C1=CC(=C(C=C1[N+](=O)[O-])C#N)NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
107350-42-5,DTXSID2073778,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
107368-63-8,DTXSID80896529,CC(C(C)(C)C)OC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F
107432-46-2,DTXSID10379294,C(C(OC(C(F)(F)F)(F)I)(F)F)(C(F)(F)F)(F)F
107650-06-6,DTXSID10338588,C(C(CO)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
107831-93-6,DTXSID20895314,CCCC/C(=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)/I
108156-21-4,DTXSID00895493,C(C(C(C(F)(F)F)(F)F)(F)F)OC(=O)Cl
1081782-31-1,DTXSID60895171,C/C=C/C(C(C(F)(F)F)(F)F)(F)F
108196-44-7,DTXSID401023255,CCCCN(CCCC)CCC(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
108214-46-6,DTXSID40549504,CCCCCC(=O)C(C(F)(F)F)(F)F
108410-37-3,DTXSID20892964,C(C(F)(F)S(=O)(=O)[O-])(F)(F)F
108427-53-8,DTXSID80873012,C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
108451-32-7,DTXSID40762776,C1(=C(OC(=C1C(F)(F)F)C(F)(F)F)C(C(F)(F)F)(F)F)C(F)(F)F
108686-05-1,DTXSID90547494,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(O)O
1087271-46-2,DTXSID60892448,C(C(C(=O)[O-])(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F.[K+]
108858-07-7,DTXSID101023137,C1(C(OS1(=O)=O)(F)F)(C(C(F)(F)F)(F)F)F
109134-39-6,DTXSID00681090,CO[Si](CCC(C(C(F)(F)F)(F)F)(F)F)(OC)OC
109230-68-4,DTXSID20895970,C1=CC(=CC=C1[N+](=O)[O-])OCC(C(C(F)(F)F)(F)F)(F)F
1092379-04-8,DTXSID90895220,CCCC[Se]C(C(C(C(F)(F)F)(F)F)(F)F)O
109296-89-1,DTXSID90896070,COC1=CC=CC(=C1C(=O)OC)C(C(C(F)(F)F)(F)F)(F)F
109574-81-4,DTXSID00895251,C(CO)C(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)I
