CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
441296-91-9,DTXSID40904578,Perfluoroundecanesulfonate,,,,29070,,,,,
441296-91-9,DTXSID40904578,Perfluoroundecanesulfonate,,,,782.4,,,,,
749786-16-1,DTXSID40904573,Perfluoroundecanesulfonic acid,,,,29070,,,,,
749786-16-1,DTXSID40904573,Perfluoroundecanesulfonic acid,,,,782.4,,,,,
196859-54-8,DTXSID30892475,Perfluoroundecanoate,,,,29070,,,,,
196859-54-8,DTXSID30892475,Perfluoroundecanoate,,,,782.4,,,,,
2058-94-8,DTXSID8047553,Perfluoroundecanoic acid,,,,29070,,,,,
2058-94-8,DTXSID8047553,Perfluoroundecanoic acid,,,,782.4,,,,,
375-53-1,DTXSID40377824,Perfluorovaleraldehyde,,,,52.55,,,,,
375-53-1,DTXSID40377824,Perfluorovaleraldehyde,,,,4.943,,,,,
76-19-7,DTXSID9052503,Perfluoropropane,,,,52.55,,,,,
76-19-7,DTXSID9052503,Perfluoropropane,,,,4.943,,,,,
203255-90-7,DTXSID10449906,"Peroxide, bis[(undecafluorocyclohexyl)carbonyl]",,,,29070,,,,,
203255-90-7,DTXSID10449906,"Peroxide, bis[(undecafluorocyclohexyl)carbonyl]",,,,782.4,,,,,
61324-30-9,DTXSID20485239,"Phenol, 2-amino-4-(heptafluoropropyl)-",,,,29070,,,,,
61324-30-9,DTXSID20485239,"Phenol, 2-amino-4-(heptafluoropropyl)-",,,,782.4,,,,,
61324-30-9,DTXSID20485239,"Phenol, 2-amino-4-(heptafluoropropyl)-",,,,4.943,,,,,
61324-30-9,DTXSID20485239,"Phenol, 2-amino-4-(heptafluoropropyl)-",,,,52.55,,,,,
417715-98-1,DTXSID40897517,"Phenol, 2,2'-[(1R,2R)-1,2-cyclohexanediylbis[(E)-nitrilomethylidyne]]bis[6-(1,1-dimethylethyl)-4-(heptadecafluorooctyl)-",,,,29070,,,,,
417715-98-1,DTXSID40897517,"Phenol, 2,2'-[(1R,2R)-1,2-cyclohexanediylbis[(E)-nitrilomethylidyne]]bis[6-(1,1-dimethylethyl)-4-(heptadecafluorooctyl)-",,,,782.4,,,,,
61324-28-5,DTXSID00485237,"Phenol, 4-(heptafluoropropyl)-",,,,29070,,,,,
61324-28-5,DTXSID00485237,"Phenol, 4-(heptafluoropropyl)-",,,,782.4,,,,,
61324-28-5,DTXSID00485237,"Phenol, 4-(heptafluoropropyl)-",,,,4.943,,,,,
61324-29-6,DTXSID60485238,"Phenol, 4-(heptafluoropropyl)-2-nitro-",,,,29070,,,,,
61324-29-6,DTXSID60485238,"Phenol, 4-(heptafluoropropyl)-2-nitro-",,,,52.55,,,,,
61324-29-6,DTXSID60485238,"Phenol, 4-(heptafluoropropyl)-2-nitro-",,,,4.943,,,,,
61324-29-6,DTXSID60485238,"Phenol, 4-(heptafluoropropyl)-2-nitro-",,,,782.4,,,,,
95881-25-7,DTXSID70446072,"Phenol, 4-(pentafluoroethyl)-",,,,29070,,,,,
95881-25-7,DTXSID70446072,"Phenol, 4-(pentafluoroethyl)-",,,,52.55,,,,,
95881-25-7,DTXSID70446072,"Phenol, 4-(pentafluoroethyl)-",,,,4.943,,,,,
95881-25-7,DTXSID70446072,"Phenol, 4-(pentafluoroethyl)-",,,,782.4,,,,,
297137-44-1,DTXSID30368009,"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",,,,29070,,,,,
297137-44-1,DTXSID30368009,"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",,,,782.4,,,,,
83865-19-4,DTXSID90574568,"Phenyl (2-chloro-1,1,2,2-tetrafluoroethoxy)(difluoro)acetate",,,,29070,,,,,
83865-19-4,DTXSID90574568,"Phenyl (2-chloro-1,1,2,2-tetrafluoroethoxy)(difluoro)acetate",,,,782.4,,,,,
83865-19-4,DTXSID90574568,"Phenyl (2-chloro-1,1,2,2-tetrafluoroethoxy)(difluoro)acetate",,,,52.55,,,,,
83865-21-8,DTXSID80530517,"Phenyl (2,2-dichloro-1,1,2-trifluoroethoxy)(difluoro)acetate",,,,29070,,,,,
83865-21-8,DTXSID80530517,"Phenyl (2,2-dichloro-1,1,2-trifluoroethoxy)(difluoro)acetate",,,,782.4,,,,,
83865-21-8,DTXSID80530517,"Phenyl (2,2-dichloro-1,1,2-trifluoroethoxy)(difluoro)acetate",,,,52.55,,,,,
78755-31-4,DTXSID90896535,"Phenyl 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate",,,,29070,,,,,
78755-31-4,DTXSID90896535,"Phenyl 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate",,,,782.4,,,,,
312943-34-3,DTXSID60896542,"Phenyl 2,3,3,3-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propanoate",,,,29070,,,,,
